 ,Area,Mean,Min,Max,X,Y
1,0.000,40,40,40,-3.650,2.067
2,0.000,122,122,122,15.817,2.075
3,0.000,122,122,122,30.417,2.044
4,0.000,122,122,122,40.150,1.990
5,0.000,122,122,122,47.450,1.937
6,0.000,121,121,121,57.183,1.860
7,0.000,122,122,122,76.650,1.760
8,0.000,122,122,122,83.950,1.699
9,0.000,122,122,122,96.117,1.622
10,0.000,122,122,122,108.283,1.553
11,0.000,122,122,122,115.583,1.476
12,0.000,122,122,122,120.450,1.430
13,0.000,122,122,122,125.317,1.392
14,0.000,122,122,122,135.050,1.307
15,0.000,122,122,122,144.783,1.230
16,0.000,122,122,122,154.517,1.131
17,0.000,122,122,122,161.817,1.100
18,0.000,122,122,122,166.683,1.038
19,0.000,122,122,122,171.550,1.000
20,0.000,122,122,122,178.850,0.923
21,0.000,122,122,122,186.150,0.885
22,0.000,122,122,122,195.883,0.831
23,0.000,122,122,122,203.183,0.785
24,0.000,122,122,122,210.483,0.754
25,0.000,121,121,121,210.483,0.846
26,0.000,121,121,121,215.350,0.946
27,0.000,122,122,122,225.083,1.077
28,0.000,122,122,122,220.217,1.000
29,0.000,122,122,122,229.950,1.138
30,0.000,122,122,122,237.250,1.246
31,0.000,122,122,122,237.250,1.330
32,0.000,122,122,122,229.950,1.200
33,0.000,122,122,122,242.117,1.399
34,0.000,122,122,122,242.117,1.468
35,0.000,122,122,122,249.417,1.522
36,0.000,122,122,122,251.850,1.583
37,0.000,122,122,122,254.283,1.653
38,0.000,122,122,122,259.150,1.714
39,0.000,122,122,122,261.583,1.775
40,0.000,122,122,122,266.450,1.821
41,0.000,122,122,122,273.750,1.898
42,0.000,122,122,122,283.483,1.952
43,0.000,122,122,122,293.217,1.998
44,0.000,140,140,140,305.383,2.052
45,0.000,122,122,122,324.850,2.052
46,0.000,122,122,122,351.617,2.044
47,0.000,122,122,122,363.783,2.044
48,0.000,178,178,178,380.817,2.044
49,0.000,122,122,122,390.550,2.006
50,0.000,122,122,122,397.850,1.944
51,0.000,122,122,122,407.583,1.875
52,0.000,122,122,122,414.883,1.814
53,0.000,122,122,122,419.750,1.760
54,0.000,122,122,122,429.483,1.676
55,0.000,122,122,122,431.917,1.583
56,0.000,122,122,122,431.917,1.630
57,0.000,122,122,122,441.650,1.507
58,0.000,122,122,122,451.383,1.461
59,0.000,122,122,122,451.383,1.430
60,0.000,122,122,122,458.683,1.330
61,0.000,122,122,122,463.550,1.276
62,0.000,122,122,122,470.850,1.192
63,0.000,122,122,122,475.717,1.131
64,0.000,122,122,122,483.017,1.054
65,0.000,122,122,122,490.317,0.962
66,0.000,122,122,122,497.617,0.869
67,0.000,122,122,122,504.917,0.793
68,0.000,122,122,122,512.217,0.724
69,0.000,122,122,122,519.517,0.647
70,0.000,122,122,122,526.817,0.562
71,0.000,122,122,122,536.550,0.478
72,0.000,122,122,122,543.850,0.432
73,0.000,122,122,122,548.717,0.378
74,0.000,132,132,132,551.150,0.309
75,0.000,122,122,122,560.883,0.286
76,0.000,122,122,122,565.750,0.255
77,0.000,122,122,122,568.183,0.217
78,0.000,56,56,56,573.050,0.194
79,0.000,122,122,122,573.050,0.248
80,0.000,122,122,122,582.783,0.301
81,0.000,123,123,123,592.517,0.393
82,0.000,122,122,122,594.950,0.509
83,0.000,122,122,122,597.383,0.616
84,0.000,122,122,122,604.683,0.701
85,0.000,122,122,122,607.117,0.785
86,0.000,122,122,122,611.983,0.869
87,0.000,122,122,122,621.717,0.954
88,0.000,122,122,122,629.017,1.061
89,0.000,122,122,122,633.883,1.161
90,0.000,122,122,122,636.317,1.246
91,0.000,122,122,122,643.617,1.338
92,0.000,125,125,125,646.050,1.407
93,0.000,122,122,122,653.350,1.468
94,0.000,122,122,122,663.083,1.530
95,0.000,122,122,122,667.950,1.607
96,0.000,122,122,122,682.550,1.691
97,0.000,122,122,122,697.150,1.722
98,0.000,122,122,122,711.750,1.737
99,0.000,156,156,156,721.483,1.745
100,0.000,187,187,187,731.217,1.752
101,0.000,187,187,187,731.217,1.752
102,0.000,122,122,122,743.383,1.775
103,0.000,122,122,122,750.683,1.791
104,0.000,122,122,122,760.417,1.722
105,0.000,122,122,122,767.717,1.645
106,0.000,122,122,122,770.150,1.591
107,0.000,122,122,122,772.583,1.545
108,0.000,122,122,122,772.583,1.468
109,0.000,122,122,122,779.883,1.376
110,0.000,122,122,122,784.750,1.299
111,0.000,122,122,122,789.617,1.207
112,0.000,122,122,122,794.483,1.131
113,0.000,122,122,122,794.483,1.054
114,0.000,122,122,122,799.350,0.969
115,0.000,122,122,122,804.217,0.885
116,0.000,122,122,122,806.650,0.800
117,0.000,122,122,122,813.950,0.701
118,0.000,122,122,122,816.383,0.616
119,0.000,122,122,122,818.817,0.570
120,0.000,122,122,122,823.683,0.478
121,0.000,122,122,122,828.550,0.417
122,0.000,122,122,122,830.983,0.378
123,0.000,122,122,122,835.850,0.309
124,0.000,122,122,122,845.583,0.248
125,0.000,122,122,122,850.450,0.186
126,0.000,122,122,122,855.317,0.102
127,0.000,122,122,122,860.183,0.063
128,0.000,122,122,122,869.917,0.010
129,0.000,122,122,122,882.083,-0.052
130,0.000,122,122,122,889.383,-0.083
131,0.000,122,122,122,906.417,-0.113
132,0.000,122,122,122,908.850,-0.129
133,0.000,122,122,122,925.883,-0.159
134,0.000,0,0,0,940.483,-0.190
135,0.000,103,103,103,945.350,-0.136
136,0.000,131,131,131,955.083,-0.021
137,0.000,122,122,122,957.517,0.094
138,0.000,122,122,122,959.950,0.202
139,0.000,122,122,122,962.383,0.263
140,0.000,122,122,122,967.250,0.340
141,0.000,122,122,122,974.550,0.417
142,0.000,122,122,122,981.850,0.570
