food;dgr;temp
0.006;-0.164;0.5
0.032;-0.140;0.5
0.067;-0.104;0.5
0.118;-0.067;0.5
0.201;-0.024;0.5
0.290;0.015;0.5
0.427;0.053;0.5
0.549;0.076;0.5
0.752;0.104;0.5
0.924;0.121;0.5
1.167;0.136;0.5
1.429;0.147;0.5
1.726;0.159;0.5
2.008;0.167;0.5
2.356;0.173;0.5
2.681;0.180;0.5
3.002;0.182;0.5
3.225;0.187;0.5
3.589;0.189;0.5
3.831;0.190;0.5
4.070;0.191;0.5
4.242;0.193;0.5
0.005;-0.080;0.5
0.044;-0.042;0.5
0.107;0.002;0.5
0.150;0.039;0.5
0.244;0.078;0.5
0.314;0.105;0.5
0.431;0.133;0.5
0.541;0.156;0.5
0.670;0.171;0.5
0.795;0.192;0.5
0.963;0.205;0.5
1.143;0.216;0.5
1.351;0.227;0.5
1.511;0.233;0.5
1.668;0.238;0.5
1.895;0.247;0.5
2.086;0.249;0.5
2.254;0.253;0.5
2.458;0.256;0.5
2.650;0.259;0.5
2.822;0.262;0.5
2.990;0.264;0.5
3.170;0.266;0.5
3.381;0.269;0.5
3.561;0.270;0.5
3.745;0.273;0.5
3.933;0.273;0.5
4.117;0.273;0.5
4.215;0.275;0.5
0.005;-0.053;0.5
0.032;-0.018;0.5
0.079;0.024;0.5
0.122;0.055;0.5
0.197;0.089;0.5
0.275;0.123;0.5
0.353;0.148;0.5
0.463;0.174;0.5
0.607;0.201;0.5
0.799;0.221;0.5
0.995;0.239;0.5
1.210;0.248;0.5
1.413;0.260;0.5
1.644;0.266;0.5
1.891;0.276;0.5
2.118;0.280;0.5
2.344;0.286;0.5
2.579;0.290;0.5
2.790;0.292;0.5
3.045;0.297;0.5
3.276;0.297;0.5
3.589;0.302;0.5
3.831;0.301;0.5
4.035;0.302;0.5
4.215;0.303;0.5
0.006;-0.164;0.5
0.032;-0.140;0.5
0.067;-0.104;0.5
0.118;-0.067;0.5
0.201;-0.024;0.5
0.290;0.015;0.5
0.427;0.053;0.5
0.549;0.076;0.5
0.752;0.104;0.5
0.924;0.121;0.5
1.167;0.136;0.5
1.429;0.147;0.5
1.726;0.159;0.5
2.008;0.167;0.5
2.356;0.173;0.5
2.681;0.180;0.5
3.002;0.182;0.5
3.225;0.187;0.5
3.589;0.189;0.5
3.831;0.190;0.5
4.070;0.191;0.5
4.242;0.193;0.5
0.005;-0.080;0.5
0.044;-0.042;0.5
0.107;0.002;0.5
0.150;0.039;0.5
0.244;0.078;0.5
0.314;0.105;0.5
0.431;0.133;0.5
0.541;0.156;0.5
0.670;0.171;0.5
0.795;0.192;0.5
0.963;0.205;0.5
1.143;0.216;0.5
1.351;0.227;0.5
1.511;0.233;0.5
1.668;0.238;0.5
1.895;0.247;0.5
2.086;0.249;0.5
2.254;0.253;0.5
2.458;0.256;0.5
2.650;0.259;0.5
2.822;0.262;0.5
2.990;0.264;0.5
3.170;0.266;0.5
3.381;0.269;0.5
3.561;0.270;0.5
3.745;0.273;0.5
3.933;0.273;0.5
4.117;0.273;0.5
4.215;0.275;0.5
0.005;-0.053;0.5
0.032;-0.018;0.5
0.079;0.024;0.5
0.122;0.055;0.5
0.197;0.089;0.5
0.275;0.123;0.5
0.353;0.148;0.5
0.463;0.174;0.5
0.607;0.201;0.5
0.799;0.221;0.5
0.995;0.239;0.5
1.210;0.248;0.5
1.413;0.260;0.5
1.644;0.266;0.5
1.891;0.276;0.5
2.118;0.280;0.5
2.344;0.286;0.5
2.579;0.290;0.5
2.790;0.292;0.5
3.045;0.297;0.5
3.276;0.297;0.5
3.589;0.302;0.5
3.831;0.301;0.5
4.035;0.302;0.5
4.215;0.303;0.5
0.011;-0.294;4
0.030;-0.268;4
0.070;-0.238;4
0.109;-0.204;4
0.160;-0.173;4
0.226;-0.143;4
0.281;-0.115;4
0.387;-0.085;4
0.500;-0.063;4
0.661;-0.036;4
0.818;-0.019;4
1.014;-0.003;4
1.256;0.013;4
1.472;0.019;4
1.691;0.027;4
1.946;0.035;4
2.228;0.042;4
2.475;0.046;4
2.764;0.051;4
3.019;0.054;4
3.274;0.055;4
3.528;0.059;4
3.783;0.062;4
4.026;0.062;4
4.237;0.063;4
0.011;-0.211;4
0.042;-0.170;4
0.093;-0.135;4
0.156;-0.093;4
0.238;-0.055;4
0.340;-0.019;4
0.457;0.013;4
0.594;0.034;4
0.786;0.060;4
0.974;0.074;4
1.198;0.089;4
1.437;0.101;4
1.652;0.107;4
1.863;0.113;4
2.055;0.118;4
2.314;0.127;4
2.522;0.128;4
2.733;0.130;4
2.980;0.133;4
3.199;0.136;4
3.426;0.138;4
3.642;0.142;4
3.861;0.141;4
4.014;0.143;4
4.222;0.144;4
0.007;-0.183;4
0.034;-0.146;4
0.081;-0.113;4
0.128;-0.080;4
0.199;-0.039;4
0.285;-0.005;4
0.402;0.029;4
0.528;0.054;4
0.688;0.076;4
0.892;0.098;4
1.170;0.116;4
1.429;0.131;4
1.691;0.141;4
1.965;0.148;4
2.236;0.154;4
2.514;0.160;4
2.784;0.162;4
3.097;0.168;4
3.407;0.169;4
3.654;0.172;4
3.939;0.176;4
4.229;0.175;4
