propOfYear;value;variable
0.004;46.070;Length (mm)
0.036;46.095;Length (mm)
0.070;46.173;Length (mm)
0.108;46.276;Length (mm)
0.131;46.405;Length (mm)
0.163;46.379;Length (mm)
0.191;46.740;Length (mm)
0.225;47.075;Length (mm)
0.254;47.358;Length (mm)
0.280;47.513;Length (mm)
0.354;47.461;Length (mm)
0.411;47.436;Length (mm)
0.483;47.332;Length (mm)
0.547;47.307;Length (mm)
0.612;47.307;Length (mm)
0.681;47.229;Length (mm)
0.747;47.204;Length (mm)
0.796;47.126;Length (mm)
0.847;47.126;Length (mm)
0.900;47.075;Length (mm)
0.951;47.023;Length (mm)
1.002;47.023;Length (mm)
0;0.699;Gonad Dry Mass (mg)
0.008;0.855;Gonad Dry Mass (mg)
0.020;3.497;Gonad Dry Mass (mg)
0.029;6.140;Gonad Dry Mass (mg)
0.036;8.472;Gonad Dry Mass (mg)
0.047;10.803;Gonad Dry Mass (mg)
0.050;5.363;Gonad Dry Mass (mg)
0.052;0.389;Gonad Dry Mass (mg)
0.064;3.808;Gonad Dry Mass (mg)
0.074;6.762;Gonad Dry Mass (mg)
0.086;10.181;Gonad Dry Mass (mg)
0.099;12.358;Gonad Dry Mass (mg)
0.109;14.689;Gonad Dry Mass (mg)
0.127;17.332;Gonad Dry Mass (mg)
0.127;11.891;Gonad Dry Mass (mg)
0.127;7.073;Gonad Dry Mass (mg)
0.127;1.010;Gonad Dry Mass (mg)
0.137;4.275;Gonad Dry Mass (mg)
0.144;8.161;Gonad Dry Mass (mg)
0.157;13.290;Gonad Dry Mass (mg)
0.164;15.933;Gonad Dry Mass (mg)
0.170;23.394;Gonad Dry Mass (mg)
0.175;29.922;Gonad Dry Mass (mg)
0.181;39.249;Gonad Dry Mass (mg)
0.186;46.710;Gonad Dry Mass (mg)
0.190;54.016;Gonad Dry Mass (mg)
0.196;58.990;Gonad Dry Mass (mg)
0.202;66.917;Gonad Dry Mass (mg)
0.201;60.078;Gonad Dry Mass (mg)
0.201;50.751;Gonad Dry Mass (mg)
0.202;42.668;Gonad Dry Mass (mg)
0.203;34.275;Gonad Dry Mass (mg)
0.202;26.036;Gonad Dry Mass (mg)
0.202;19.352;Gonad Dry Mass (mg)
0.201;13.290;Gonad Dry Mass (mg)
0.202;8.627;Gonad Dry Mass (mg)
0.202;-0.233;Gonad Dry Mass (mg)
0.208;9.249;Gonad Dry Mass (mg)
0.213;16.399;Gonad Dry Mass (mg)
0.216;22.306;Gonad Dry Mass (mg)
0.220;29.456;Gonad Dry Mass (mg)
0.226;36.917;Gonad Dry Mass (mg)
0.230;42.202;Gonad Dry Mass (mg)
0.232;47.953;Gonad Dry Mass (mg)
0.236;52.617;Gonad Dry Mass (mg)
0.240;57.124;Gonad Dry Mass (mg)
0.255;52.306;Gonad Dry Mass (mg)
0.266;48.420;Gonad Dry Mass (mg)
0.279;44.378;Gonad Dry Mass (mg)
0.281;35.518;Gonad Dry Mass (mg)
0.280;27.435;Gonad Dry Mass (mg)
0.281;20.440;Gonad Dry Mass (mg)
0.279;13.601;Gonad Dry Mass (mg)
0.279;8.938;Gonad Dry Mass (mg)
0.280;3.653;Gonad Dry Mass (mg)
0.280;-0.078;Gonad Dry Mass (mg)
0.324;-0.078;Gonad Dry Mass (mg)
0.386;0.233;Gonad Dry Mass (mg)
0.444;-0.078;Gonad Dry Mass (mg)
0.514;-0.078;Gonad Dry Mass (mg)
0.577;-0.078;Gonad Dry Mass (mg)
0.639;-0.233;Gonad Dry Mass (mg)
0.698;-0.233;Gonad Dry Mass (mg)
0.752;-0.233;Gonad Dry Mass (mg)
0.807;-0.233;Gonad Dry Mass (mg)
0.857;-0.233;Gonad Dry Mass (mg)
0.911;-0.078;Gonad Dry Mass (mg)
0.941;-0.078;Gonad Dry Mass (mg)
0.981;-0.078;Gonad Dry Mass (mg)
1.002;1.166;Gonad Dry Mass (mg)
