doy;length
31.132;44.953
42.011;45.666
51.745;46.300
64.341;46.776
73.502;47.013
83.236;47.093
94.688;47.093
102.704;47.093
110.720;47.093
119.309;47.013
128.470;46.855
137.058;46.696
149.082;46.696
157.671;46.538
169.123;46.379
178.856;46.142
192.026;45.904
204.622;45.746
218.937;45.270
234.396;44.716
247.566;44.082
259.017;43.527
271.041;42.656
281.348;41.863
289.936;40.992
301.960;40.358
316.847;40.120
329.444;40.516
338.605;41.309
347.766;42.418
357.500;43.844
364.371;45.270
372.960;46.538
380.403;47.489
387.847;48.281
398.726;49.311
410.750;50.183
422.201;50.262
435.370;50.658
450.257;50.579
457.701;50.499
468.580;50.420
479.459;50.420
488.047;50.183
496.064;50.103
500.644;50.103
32.277;21.977
40.866;22.848
48.309;23.640
58.615;24.433
67.777;25.066
76.365;25.383
87.244;25.780
99.268;25.859
116.446;25.859
127.897;25.938
138.204;25.938
151.945;25.938
163.969;25.938
173.703;25.938
181.719;25.938
191.453;25.938
206.913;25.859
220.082;25.463
235.541;25.304
249.283;24.670
261.307;24.195
271.614;23.640
280.775;23.165
289.936;22.531
299.097;22.056
308.259;21.660
317.420;21.422
330.017;21.580
337.460;22.135
342.613;22.769
348.912;24.116
357.500;25.859
366.089;27.602
371.815;29.107
378.685;30.533
386.129;31.643
393.000;32.910
399.871;34.099
407.887;35.208
417.621;36.238
426.782;36.872
436.516;37.506
448.540;38.060
459.419;38.456
472.015;38.773
482.322;38.853
491.483;38.853
500.644;38.773
36.285;2.565
44.874;3.754
56.898;5.021
68.349;6.051
78.083;6.764
90.680;7.477
104.422;7.715
114.728;8.190
125.034;8.587
137.631;8.824
152.518;8.824
169.123;8.904
186.872;8.983
201.759;8.983
215.501;8.904
231.533;8.745
244.130;8.507
256.154;8.270
268.751;8.111
277.912;7.953
289.936;7.557
301.960;7.477
311.694;7.398
320.855;7.477
330.589;8.270
339.750;9.537
348.339;10.805
353.492;11.914
360.936;13.182
366.089;14.212
374.677;15.480
383.266;16.430
392.427;17.460
402.161;18.332
411.895;18.966
422.774;19.441
434.798;19.996
445.677;20.313
459.419;20.471
470.298;20.550
480.031;20.550
487.475;20.550
499.499;20.550
