"dayOfYear","chlA","iceAlgae","temperature","timepoint"
1,1.657241661,0,0.870292722298065,1
2,1.657659009,0,0.879493238279787,2
3,1.650037527,0,0.888376266753744,3
4,1.63481446,0,0.896938601043128,4
5,1.615109469,0,0.905177150238246,5
6,1.594042219,0,0.913088940312308,6
7,1.574732373,0,0.920671115195021,7
8,1.560299594,0,0.927920937803593,8
9,1.551624687,0,0.934835791030795,9
10,1.539042093,0,0.941413178689708,10
11,1.52315157,0,0.947650726414816,11
12,1.506484049,0,0.95354618251913,12
13,1.491570466,0,0.959097418807021,13
14,1.480941754,0,0.964302431342476,14
15,1.473355891,0,0.969159341172495,15
16,1.464201237,0,0.973666395005375,16
17,1.454195153,0,0.977821965843629,17
18,1.444135782,0,0.981624553571314,18
19,1.434821269,0,0.985072785495555,19
20,1.427049758,0,0.988165416842077,20
21,1.421595727,0,0.990901331204548,21
22,1.415980885,0,0.993279540947596,22
23,1.408641029,0,0.99529918756333,23
24,1.40030819,0,0.996959541981257,24
25,1.391714398,0,0.998260004831461,25
26,1.383591682,0,0.999200106660978,26
27,1.376672074,0,0.999779508103256,27
28,1.371361435,0,0.999998000000667,28
29,1.363815499,0,0.999855503480008,29
30,1.353712284,0,0.999352069980977,30
31,1.34232939,0,0.998487881237598,31
32,1.330944417,0,0.997263249212624,32
33,1.320834964,0,0.995678615984916,33
34,1.313278631,0,0.99373455358986,34
35,1.308395729,0,0.991431763812868,35
36,1.301390274,0,0.988771077936042,36
37,1.292521001,0,0.985753456438088,37
38,1.28290108,0,0.982379988647596,38
39,1.273643682,0,0.978651892349802,39
40,1.265861977,0,0.974570513346983,40
41,1.260333094,0,0.970137324972635,41
42,1.253455605,0,0.965353927559618,42
43,1.244528162,0,0.96022204786245,43
44,1.234283265,0,0.954743538433969,44
45,1.223453411,0,0.948920376956583,45
46,1.212771101,0,0.942754665528346,46
47,1.202882944,0,0.936248629904125,47
48,1.187287084,0,0.929404618692124,48
49,1.165424275,0,0.922225102506065,49
50,1.142755911,0,0.914712673073322,50
51,1.124743384,0,0.906870042299337,51
