"sizeClass","sizeClasses","wetWeight","dryWeight","carbonWeight","carbonRespiration","filtrationRateWaterColumn","filtrationRateSeaIce","feedingTime"
0,1,0.047,0.010152,0.00313527113420269,7.76625618980526e-05,1.92674394663125e-05,9.63371973315625e-07,0.9
1,1.25,0.0754473509090047,0.016296627796345,0.00512184520305689,0.000126511434625994,2.84707931938618e-05,1.42353965969309e-06,0.9
2,1.5,0.111067607892115,0.0239906033046969,0.00764863221265068,0.000188486152570183,3.91699385827298e-05,1.95849692913649e-06,0.9
3,1.75,0.154021574679264,0.0332686601307209,0.0107357330065768,0.000264043456165193,5.12977192968917e-05,2.56488596484458e-06,0.9
4,2,0.204447817480718,0.0441607285758351,0.0144007017465038,0.000353581355826908,6.47998223691322e-05,3.23999111845661e-06,0.9
5,2.25,0.262468372827163,0.0566931685306672,0.0186591756247821,0.000457453744023362,7.96309281914388e-05,3.98154640957194e-06,0.9
6,2.5,0.328192472937189,0.0708895741544328,0.0235252907974547,0.000575980028078213,9.57523362092922e-05,4.78761681046461e-06,0.9
7,2.75,0.401719118970747,0.0867713296976814,0.0290119726547205,0.000709451841495783,0.000113130402998455,5.65652014992276e-06,0.9
8,3,0.48313893673079,0.104358010333851,0.0351311470518465,0.000858137920660506,0.00013173546317914,6.58677315895698e-06,0.9
9,3.25,0.572535561095915,0.123667681196718,0.0418938991754731,0.00102228776778854,0.000151541054628776,7.57705273143882e-06,0.9
10,3.5,0.66998669761955,0.144717126685823,0.0493105962579295,0.00120213447697832,0.000172523344588266,8.6261672294133e-06,0.9
11,3.75,0.775564955262369,0.167522030336672,0.0573909844805639,0.00139789696343317,0.00019466069349944,9.73303467497201e-06,0.9
12,4,0.889338512183595,0.192097118631657,0.0661442669278096,0.00160978175497877,0.000217933316277584,1.08966658138792e-05,0.9
13,4.25,1.01137165679421,0.21845627786755,0.0755791672977592,0.00183798445489079,0.00024232301436121,1.21161507180605e-05,0.9
14,4.5,1.14172523366444,0.24661265047152,0.0857039826880728,0.00208269095284547,0.000267812960352947,1.33906480176474e-05,0.9
15,4.75,1.28045701554938,0.276578715358666,0.0965266278548684,0.00234407843943738,0.000294387522512756,1.47193761256378e-05,0.9
16,5,1.42762201714059,0.308366355702368,0.10805467271336,0.0026223162651324,0.000322032119973182,1.61016059986591e-05,0.9
17,5.25,1.6524892875,0.3569376861,0.125753305128239,0.0030491568992241,0.000363335354365335,1.81667677182668e-05,0.9
18,5.5,1.8265713,0.394539400800001,0.139516897515939,0.00338085220806305,0.000394633082467503,1.97316541233751e-05,0.9
19,5.75,2.0011397625,0.4322461887,0.15336784362883,0.00371446134136412,0.000425497627728706,2.12748813864353e-05,0.9
20,6,2.1789384,0.4706506944,0.167521148274617,0.00405517282045264,0.000456452254351303,2.28226127175651e-05,0.9
21,6.25,2.3627109375,0.510345562500001,0.182194980942336,0.00440823908969273,0.000487985602287088,2.43992801143544e-05,0.9
22,6.5,2.5552011,0.551923437600001,0.197610237110378,0.00477896758350112,0.000520557809425503,2.60278904712751e-05,0.9
23,6.75,2.7591526125,0.5959769643,0.213990281298393,0.00517271548066721,0.000554604311582441,2.7730215579122e-05,0.9
24,7,2.9773092,0.643098787200001,0.231560804906023,0.00559488678431291,0.000590538233270907,2.95269116635453e-05,0.9
25,7.25,3.2124145875,0.693881550900001,0.250549755634869,0.0060509308501675,0.000628751930682303,3.14375965341151e-05,0.9
26,7.5,3.4672125,0.7489179,0.271187309280445,0.00654634177089849,0.000669618046646114,3.34809023323057e-05,0.9
27,7.75,3.74444666250001,0.808800479100001,0.293705863655638,0.00708665820694463,0.000713490312134907,3.56745156067453e-05,0.9
28,8,4.0468608,0.874121932800001,0.318340040647831,0.00767746338119065,0.000760704245447614,3.80352122723807e-05,0.9
29,8.25,4.3771986375,0.9454749057,0.345326687028332,0.00832438504855186,0.00081157784169589,4.05788920847945e-05,0.9
