length;imp;temp
33.993;9.530;0
35.553;10.169;0
37.157;10.499;0
38.642;11.159;0
40.425;11.819;0
42.267;12.809;0
44.406;13.634;0
46.545;14.542;0
48.624;15.697;0
50.764;17.182;0
52.427;18.420;0
54.388;19.905;0
55.992;21.308;0
57.597;22.958;0
58.785;24.113;0
60.152;25.598;0
33.929;9.864;2
35.625;10.360;2
37.321;10.794;2
39.196;11.663;2
40.670;11.973;2
42.500;12.717;2
44.152;13.524;2
45.446;14.144;2
46.830;14.950;2
48.393;15.943;2
50.312;17.122;2
52.009;18.362;2
53.661;19.541;2
54.866;20.596;2
55.938;21.712;2
57.277;22.891;2
58.393;23.945;2
59.018;24.876;2
60.045;25.931;2
60.504;45.347;4
59.609;43.528;4
58.894;42.039;4
58.119;40.385;4
57.165;38.482;4
56.330;37.159;4
55.376;35.505;4
54.600;34.098;4
53.706;32.610;4
52.633;31.038;4
51.679;29.632;4
50.844;28.557;4
49.770;27.068;4
48.757;25.827;4
47.624;24.421;4
46.193;23.015;4
44.940;21.857;4
43.748;20.782;4
42.794;19.955;4
41.482;18.879;4
40.110;17.804;4
38.798;16.894;4
