temp;imp;length
-0.872;18.911;50
-0.658;18.292;50
-0.443;17.466;50
-0.229;16.950;50
-0.003;16.538;50
0.307;16.022;50
0.580;15.918;50
0.914;15.815;50
1.188;15.918;50
1.485;16.125;50
1.747;16.331;50
2.021;17.054;50
2.342;17.466;50
2.676;18.705;50
2.949;19.737;50
3.211;21.182;50
3.426;22.730;50
3.592;23.762;50
3.783;25.619;50
3.973;27.477;50
4.152;29.025;50
4.307;31.605;50
4.426;33.359;50
4.533;34.804;50
4.688;37.487;50
-0.845;29.633;60
-0.702;28.494;60
-0.560;27.562;60
-0.417;26.734;60
-0.120;25.906;60
0.177;24.974;60
0.474;24.249;60
0.782;24.042;60
1.103;24.146;60
1.471;24.353;60
1.911;25.492;60
2.208;26.527;60
2.445;27.666;60
2.624;28.804;60
2.861;30.461;60
3.099;32.220;60
3.277;34.187;60
3.455;36.154;60
3.621;38.225;60
3.764;40.916;60
3.906;42.987;60
4.025;45.160;60
4.144;47.334;60
4.251;49.508;60
